"FACULTAD DE CIENCIAS FÍSICO MATEMATICAS Y NATURALES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FACULTAD DE CIENCIAS ECONÓMICAS, JURÍDICAS Y SOCIALES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARRERA","NIVEL","OCD N.° ","OCS N.° ","RESOLUCIÓN MINISTERIAL N.° ","","OBSERVACIONES","","","","","","","","","","","","","","","","","","","",""
"ABOGACÍA","GRADO","OCD N.º 8/18 Y 14/18","OCS N.º 48/18","RESOLUCIÓN MINISTERIAL N.°  695/22","RES. CONEAU N.° 520/20","","","","","","","","","","","","","","","","","","","","",""
"CONTADOR PÚBLICO NACIONAL","GRADO","OCD N.º 11/18","OCS N.º 21/19 Y 37/20","RESOLUCIÓN MINISTERIAL N.°  3203/22","RES. CONEAU N.° 562/20","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN ADMINISTRACIÓN","GRADO","OCD N.º 7/19","OCS N.° 52/19","RESOLUCION MINISTERIAL N.° 557/22","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN TRABAJO SOCIAL","GRADO","OCD N.º 24/11 y OCD N.° 6/13","OCS N.º 3/12 Y 49/13","RESOLUCIÓN MINISTERIAL N.° 2091/14","DISPO. 482/2018 AUTORIZA A PRESENTAR DIPLOMAS PREVIOS AL RECONONOCIMIENTO OFICIAL","","","","","","","","","","","","","","","","","","","","",""
"PROCURADOR","GRADO","OCD N.º 10/09 y 14/15","OCS N.º 17/09 Y 8/16","RESOLUCIÓN MINISTERIAL N.° 1003/19","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN ACOMPAÑAMIENTO TERAPÉUTICO - CCC","GRADO - CCC","OCD N.º 13/22","OCS N.º 53/22","-","","FALTA RM.","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN ADMINISTRACIÓN Y GESTIÓN DE INSTITUCIONES UNIVERSITARIAS ","GRADO - CCC","OCD N.º 9/20","OCS N.º 8/21","RESOLUCIÓN MINISTERIAL N.°  2143/22","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN ANÁLISIS Y GESTIÓN DE DATOS","-","-","-","-","","IDEM FCFMyN","","","","","","","","","","","","","","","","","","","",""
